city_name,state,date,lat,lon,tz,units,cloud_cover_afternoon,humidity_afternoon,precipitation_total,temp_min,temp_max,temp_afternoon,temp_night,temp_evening,temp_morning,pressure_afternoon,wind_max_speed,wind_max_direction
Fargo,North Dakota,2024-01-05,46.877229,-96.789821,-06:00,metric,100.0,91.0,0.0,-3.01,0.35,-0.03,-3.01,0.03,-1.15,1012.0,5.66,160.0
Duluth,Minnesota,2024-01-05,46.7729322,-92.1251218,-06:00,metric,100.0,93.0,2.75,-5.59,-1.0,-2.77,-5.59,-1.29,-5.54,1018.0,8.75,230.0
Bismarck,North Dakota,2024-01-05,46.808327,-100.783739,-06:00,metric,100.0,92.0,0.57,-4.62,-3.52,-4.16,-4.36,-4.3,-4.2,1011.0,3.6,330.0
Aberdeen,South Dakota,2024-01-05,45.4649805,-98.487813,-06:00,metric,100.0,87.0,0.0,-1.99,1.12,1.12,-1.01,0.87,0.99,1012.0,7.2,180.0
Grand Island,Nebraska,2024-01-05,40.924271,-98.338685,-06:00,metric,100.0,93.0,1.49,-1.78,-0.33,-1.08,-1.05,-1.14,-1.4,1014.0,5.66,170.0
Glasgow,Montana,2024-01-05,48.1955915,-106.635556,-07:00,metric,40.0,86.0,0.0,-6.61,-0.61,-1.61,-3.61,-2.61,-5.61,1009.0,10.29,330.0
Omaha,Nebraska,2024-01-05,41.2587459,-95.9383758,-06:00,metric,100.0,86.0,0.75,-2.44,0.7,-0.03,-1.0,0.02,-1.57,1016.0,5.14,180.0
Portland,Oregon,2024-01-05,45.5202471,-122.674194,-08:00,metric,75.0,89.0,2.26,3.91,9.25,8.37,4.13,8.12,5.46,1029.0,7.15,229.0
Sioux Falls,South Dakota,2024-01-06,43.5488256,-96.7307737,-06:00,metric,100.0,85.0,1.08,-6.78,-1.68,-1.79,-1.68,-3.94,-1.81,1007.0,7.72,330.0
Great Falls,Montana,2024-01-06,47.5048851,-111.29189,-07:00,metric,100.0,36.0,0.0,-2.44,3.84,2.88,-1.45,2.52,0.11,1003.0,10.29,240.0
Houghton,Michigan,2024-01-06,47.121872,-88.569012,-06:00,metric,100.0,90.0,3.95,-3.3,-0.67,-1.16,-3.3,-1.58,-3.08,1004.0,3.61,156.0
Fargo,North Dakota,2024-01-06,46.877229,-96.789821,-06:00,metric,100.0,87.0,1.01,-13.88,0.8,-6.41,0.03,-10.38,-2.85,1008.0,9.26,340.0
Duluth,Minnesota,2024-01-06,46.7729322,-92.1251218,-06:00,metric,100.0,92.0,3.88,-1.83,0.16,-0.11,-1.25,-0.77,-0.6,1006.0,4.63,160.0
Bismarck,North Dakota,2024-01-06,46.808327,-100.783739,-06:00,metric,100.0,81.0,0.17,-7.2,-4.51,-5.54,-5.12,-5.94,-5.59,1011.0,7.2,330.0
Aberdeen,South Dakota,2024-01-06,45.4649805,-98.487813,-06:00,metric,100.0,80.0,0.78,-11.95,-2.09,-3.97,-2.09,-8.66,-3.65,1011.0,8.23,330.0
Grand Island,Nebraska,2024-01-06,40.924271,-98.338685,-06:00,metric,92.0,88.0,0.34,-3.18,0.73,0.04,-1.07,-2.03,-0.46,1009.0,8.75,320.0
Glasgow,Montana,2024-01-06,48.1955915,-106.635556,-07:00,metric,0.0,93.0,0.0,-10.61,0.39,-2.61,-7.61,-1.61,-3.61,1005.0,5.66,110.0
Omaha,Nebraska,2024-01-06,41.2587459,-95.9383758,-06:00,metric,100.0,92.0,0.13,-2.87,0.24,-0.66,-1.62,-1.18,-2.23,1008.0,7.2,320.0
Portland,Oregon,2024-01-06,45.5202471,-122.674194,-08:00,metric,75.0,91.0,22.48,4.38,7.73,6.4,7.73,4.57,4.41,1012.0,8.05,225.0
Sioux Falls,South Dakota,2024-01-07,43.5488256,-96.7307737,-06:00,metric,40.0,85.0,0.0,-10.66,-6.0,-7.57,-7.78,-6.68,-8.78,1015.0,4.63,100.0
Great Falls,Montana,2024-01-07,47.5048851,-111.29189,-07:00,metric,100.0,78.0,2.1,-12.99,-0.76,-8.79,-1.47,-11.97,-8.12,1013.0,10.29,330.0
Houghton,Michigan,2024-01-07,47.121872,-88.569012,-06:00,metric,100.0,88.0,0.51,-5.57,-0.96,-3.46,-2.27,-4.46,-0.96,1007.0,6.69,340.0
Fargo,North Dakota,2024-01-07,46.877229,-96.789821,-06:00,metric,100.0,78.0,0.0,-15.7,-12.88,-13.22,-14.25,-14.68,-14.29,1017.0,5.66,360.0
Duluth,Minnesota,2024-01-07,46.7729322,-92.1251218,-06:00,metric,100.0,82.0,0.0,-11.73,-1.79,-6.87,-1.79,-9.18,-5.3,1014.0,7.2,300.0
Bismarck,North Dakota,2024-01-07,46.808327,-100.783739,-06:00,metric,100.0,85.0,0.0,-11.41,-6.02,-6.02,-6.23,-8.54,-6.3,1013.0,7.2,120.0
Aberdeen,South Dakota,2024-01-07,45.4649805,-98.487813,-06:00,metric,100.0,89.0,0.0,-13.01,-9.42,-10.64,-12.13,-10.83,-11.01,1017.0,5.14,50.0
Grand Island,Nebraska,2024-01-07,40.924271,-98.338685,-06:00,metric,0.0,83.0,0.0,-9.81,0.73,-1.09,-3.1,-0.72,-9.81,1013.0,8.23,120.0
Glasgow,Montana,2024-01-07,48.1955915,-106.635556,-07:00,metric,100.0,80.0,0.55,-10.61,-2.61,-2.61,-3.61,-4.61,-3.61,1009.0,8.23,330.0
Omaha,Nebraska,2024-01-07,41.2587459,-95.9383758,-06:00,metric,75.0,74.0,0.0,-4.09,-0.09,-1.04,-3.0,-0.73,-3.85,1016.0,7.2,130.0
Portland,Oregon,2024-01-07,45.5202471,-122.674194,-08:00,metric,75.0,92.0,1.35,4.13,7.35,6.66,4.14,4.93,4.13,1019.0,4.02,252.0
